speaker_iso,target_iso,year,count
SLV,CHE,1947,1
SLV,IRL,1947,1
SLV,JOR,1947,1
SLV,PRT,1947,1
SLV,USA,1947,1
SWE,BGR,1947,1
SWE,CHN,1947,1
SWE,FIN,1947,1
SWE,HUN,1947,1
SWE,ITA,1947,1
SWE,USA,1947,1
SYR,ISR,1947,1
SYR,OMN,1947,1
THA,CHN,1947,1
THA,GBR,1947,1
THA,IDN,1947,1
THA,IND,1947,1
THA,MMR,1947,1
TUR,GRC,1947,1
UKR,ALB,1947,1
UKR,ARE,1947,1
UKR,ARG,1947,1
UKR,BGR,1947,1
UKR,CSK,1947,1
UKR,DDR,1947,1
UKR,EGY,1947,1
UKR,ESP,1947,1
UKR,FRA,1947,1
UKR,IRN,1947,1
UKR,JPN,1947,1
UKR,NLD,1947,1
UKR,NOR,1947,1
UKR,RUS,1947,1
UKR,TTO,1947,1
UKR,YUG,1947,1
URY,USA,1947,1
USA,AUT,1947,1
VEN,GRC,1947,1
VEN,USA,1947,1
YUG,AUT,1947,1
YUG,COL,1947,1
YUG,CSK,1947,1
YUG,POL,1947,1
ZAF,GBR,1947,1
ZAF,GRC,1947,1
ZAF,PAK,1947,1
ZAF,POL,1947,1
ZAF,UKR,1947,1
RUS,USA,1948,68
PAK,IND,1948,53
RUS,URS,1948,43
BEL,URS,1948,39
UKR,URS,1948,33
YUG,GRC,1948,31
POL,DEU,1948,27
DNK,DEU,1948,25
UKR,USA,1948,25
YUG,USA,1948,23
BLR,URS,1948,21
GBR,URS,1948,21
YUG,URS,1948,21
BLR,USA,1948,15
RUS,GBR,1948,13
GBR,GRC,1948,12
FRA,DEU,1948,11
RUS,DEU,1948,11
CHN,PRK,1948,10
GBR,DEU,1948,10
BOL,ESP,1948,8
CAN,FRA,1948,8
GBR,USA,1948,8
GRC,YUG,1948,8
NLD,IDN,1948,8
RUS,PRK,1948,8
CHN,IDN,1948,7
GBR,PSE,1948,7
GRC,ALB,1948,7
GRC,BGR,1948,7
RUS,PSE,1948,7
SYR,USA,1948,7
UKR,GBR,1948,7
BEL,USA,1948,6
CHL,FRA,1948,6
CSK,USA,1948,6
IND,FRA,1948,6
IND,USA,1948,6
NLD,USA,1948,6
PAK,DDR,1948,6
PAK,ISR,1948,6
RUS,FRA,1948,6
UKR,DEU,1948,6
BLR,GBR,1948,5
BOL,ITA,1948,5
CSK,URS,1948,5
LBN,PSE,1948,5
NLD,CHN,1948,5
PAK,DEU,1948,5
POL,ESP,1948,5
RUS,IDN,1948,5
SLV,PSE,1948,5
YUG,PSE,1948,5
CHN,NLD,1948,4
CHN,USA,1948,4
CSK,DDR,1948,4
FRA,URS,1948,4
GBR,LKA,1948,4
IND,MMR,1948,4
LBN,USA,1948,4
PAK,USA,1948,4
POL,GRC,1948,4
SLV,PRT,1948,4
USA,PSE,1948,4
YUG,GBR,1948,4
AUS,DEU,1948,3
BEL,NLD,1948,3
BOL,PSE,1948,3
BRA,DEU,1948,3
CAN,USA,1948,3
CHL,CHN,1948,3
CHL,CSK,1948,3
CHN,FRA,1948,3
CHN,IND,1948,3
DOM,FRA,1948,3
EGY,PSE,1948,3
FRA,ITA,1948,3
FRA,USA,1948,3
IND,IDN,1948,3
LBN,PRK,1948,3
NLD,FRA,1948,3
PAK,CHN,1948,3
PAK,FRA,1948,3
PAK,GBR,1948,3
PAK,IDN,1948,3
PAK,JPN,1948,3
PAK,LKA,1948,3
PAK,MMR,1948,3
PAK,PHL,1948,3
PAK,PSE,1948,3
PAK,VNM,1948,3
PER,ESP,1948,3
PER,LUX,1948,3
POL,PSE,1948,3
RUS,JPN,1948,3
SLV,IRL,1948,3
SLV,JOR,1948,3
URY,USA,1948,3
VEN,USA,1948,3
YUG,DEU,1948,3
YUG,ITA,1948,3
AUS,JPN,1948,2
AUS,PRK,1948,2
AUS,URS,1948,2
AUS,ZAF,1948,2
BEL,FRA,1948,2
BEL,GBR,1948,2
BEL,LUX,1948,2
BEL,POL,1948,2
BLR,ARG,1948,2
BLR,FRA,1948,2
BOL,FRA,1948,2
BOL,LUX,1948,2
BRA,FRA,1948,2
CAN,URS,1948,2
CHN,PAK,1948,2
COL,ESP,1948,2
COL,USA,1948,2
DNK,USA,1948,2
DOM,ESP,1948,2
DOM,USA,1948,2
ECU,CHN,1948,2
FRA,BEL,1948,2
FRA,GBR,1948,2
FRA,GRC,1948,2
GBR,FRA,1948,2
GBR,POL,1948,2
GRC,USA,1948,2
IND,CHN,1948,2
IND,GBR,1948,2
IND,PAK,1948,2
LBN,CHN,1948,2
LBN,DEU,1948,2
LBN,GBR,1948,2
LBN,GRC,1948,2
NLD,BEL,1948,2
NLD,LUX,1948,2
PAK,CSK,1948,2
PAK,GRC,1948,2
PAK,ITA,1948,2
PER,DEU,1948,2
PER,ITA,1948,2
PER,USA,1948,2
PHL,GRC,1948,2
PHL,IDN,1948,2
PHL,PRK,1948,2
PHL,PSE,1948,2
POL,CHN,1948,2
POL,ISR,1948,2
POL,USA,1948,2
RUS,ARE,1948,2
RUS,BEL,1948,2
RUS,CHN,1948,2
RUS,GRC,1948,2
RUS,ITA,1948,2
RUS,KOR,1948,2
RUS,NLD,1948,2
SLV,AUT,1948,2
SLV,ITA,1948,2
SYR,PSE,1948,2
SYR,URS,1948,2
UKR,GRC,1948,2
USA,FRA,1948,2
USA,GRC,1948,2
USA,IDN,1948,2
USA,PRK,1948,2
VEN,ITA,1948,2
YUG,PRK,1948,2
ZAF,FRA,1948,2
AUS,AUT,1948,1
AUS,CHN,1948,1
AUS,DDR,1948,1
AUS,FIN,1948,1
AUS,IND,1948,1
AUS,IRL,1948,1
AUS,ITA,1948,1
AUS,JOR,1948,1
AUS,LBN,1948,1
AUS,LKA,1948,1
AUS,NZL,1948,1
AUS,PAK,1948,1
AUS,PRT,1948,1
AUS,USA,1948,1
BEL,CSK,1948,1
BEL,FIN,1948,1
BEL,YUG,1948,1
BEL,ZAF,1948,1
BLR,CSK,1948,1
BLR,DEU,1948,1
BLR,JPN,1948,1
BLR,LBN,1948,1
BLR,NZL,1948,1
BLR,PSE,1948,1
BLR,URY,1948,1
BOL,ARG,1948,1
BOL,DEU,1948,1
BRA,CHN,1948,1
BRA,USA,1948,1
CAN,CSK,1948,1
