speaker_iso,target_iso,year,session,count
IND,GBR,1948,03,2
LBN,PSE,1948,03,5
LBN,USA,1948,03,4
LBN,GBR,1948,03,2
LBN,NZL,1948,03,1
LBN,PRK,1948,03,3
LBN,GRC,1948,03,2
LBN,AUS,1948,03,1
LBN,FRA,1948,03,1
LBN,URS,1948,03,1
LBN,BEL,1948,03,1
LBN,CAN,1948,03,1
LBN,CHN,1948,03,2
LBN,FIN,1948,03,1
LBN,IDN,1948,03,1
LBN,CHL,1948,03,1
LBN,DEU,1948,03,2
LBR,PSE,1948,03,1
LBR,GRC,1948,03,1
LBR,CHN,1948,03,1
LBR,PRK,1948,03,1
LBR,IDN,1948,03,1
LBR,ZAF,1948,03,1
LBR,DEU,1948,03,1
LBR,FRA,1948,03,1
MEX,FRA,1948,03,1
MEX,USA,1948,03,1
MMR,IDN,1948,03,1
MMR,CHN,1948,03,1
MMR,JPN,1948,03,1
NLD,FRA,1948,03,3
NLD,IDN,1948,03,8
NLD,AUS,1948,03,1
NLD,USA,1948,03,6
NLD,CHN,1948,03,5
NLD,BEL,1948,03,2
NLD,LUX,1948,03,2
NLD,GBR,1948,03,1
NLD,DEU,1948,03,1
NLD,BOL,1948,03,1
NZL,USA,1948,03,1
NZL,GRC,1948,03,1
NZL,IDN,1948,03,1
NZL,CHL,1948,03,1
PAK,FRA,1948,03,3
PAK,LBN,1948,03,1
PAK,IND,1948,03,53
PAK,MMR,1948,03,3
PAK,LKA,1948,03,3
PAK,IDN,1948,03,3
PAK,CSK,1948,03,2
PAK,VNM,1948,03,3
PAK,PHL,1948,03,3
PAK,DEU,1948,03,5
PAK,JPN,1948,03,3
PAK,USA,1948,03,4
PAK,NLD,1948,03,1
PAK,GBR,1948,03,3
PAK,SEN,1948,03,1
PAK,CHN,1948,03,3
PAK,ITA,1948,03,2
PAK,GRC,1948,03,2
PAK,PSE,1948,03,3
PAK,ISR,1948,03,6
PAK,DDR,1948,03,6
PAK,ZAF,1948,03,1
PER,FRA,1948,03,1
PER,USA,1948,03,2
PER,DEU,1948,03,2
PER,PAN,1948,03,1
PER,LUX,1948,03,3
PER,PSE,1948,03,1
PER,ESP,1948,03,3
PER,ITA,1948,03,2
PER,CHL,1948,03,1
PHL,USA,1948,03,1
PHL,GRC,1948,03,2
PHL,IRN,1948,03,1
PHL,EGY,1948,03,1
PHL,ZAF,1948,03,1
PHL,PRK,1948,03,2
PHL,IDN,1948,03,2
PHL,PSE,1948,03,2
PHL,CSK,1948,03,1
PHL,DEU,1948,03,1
POL,USA,1948,03,2
POL,FRA,1948,03,1
